age,workclass,education-num,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,salary,capital_net,has_capital_activity
25,Private,7,Single,Skilled-Manual,Child,Black,Male,40,US,<=50K,0,0
38,Private,9,Married,Skilled-Manual,Spouse,White,Male,50,US,<=50K,0,0
28,Government,12,Married,Specialized,Spouse,White,Male,40,US,>50K,0,0
44,Private,10,Married,Skilled-Manual,Spouse,Black,Male,40,US,>50K,7688,1
18,,10,Single,,Child,White,Female,30,US,<=50K,0,0
34,Private,6,Single,Office-Service,Other,White,Male,30,US,<=50K,0,0
29,,9,Single,,Other,Black,Male,40,US,<=50K,0,0
63,Self-employed,15,Married,Professional,Spouse,White,Male,32,US,>50K,3103,1
24,Private,10,Single,Office-Service,Other,White,Female,40,US,<=50K,0,0
55,Private,4,Married,Skilled-Manual,Spouse,White,Male,10,US,<=50K,0,0
65,Private,9,Married,Skilled-Manual,Spouse,White,Male,40,US,>50K,6418,1
36,Government,13,Married,Office-Service,Spouse,White,Male,40,US,<=50K,0,0
26,Private,9,Single,Office-Service,Other,White,Female,39,US,<=50K,0,0
58,,9,Married,,Spouse,White,Male,35,US,<=50K,0,0
48,Private,9,Married,Skilled-Manual,Spouse,White,Male,48,US,>50K,3103,1
43,Private,14,Married,Professional,Spouse,White,Male,50,US,>50K,0,0
20,Government,10,Single,Office-Service,Child,White,Male,25,US,<=50K,0,0
43,Private,9,Married,Office-Service,Spouse,White,Female,30,US,<=50K,0,0
37,Private,9,Previously-Married,Skilled-Manual,Other,White,Female,20,US,<=50K,0,0
40,Private,16,Married,Professional,Spouse,Asian-Pac-Islander,Male,45,Non-US,>50K,0,0
34,Private,13,Married,Professional,Spouse,White,Male,47,US,>50K,0,0
34,Private,10,Single,Office-Service,Child,Black,Female,35,US,<=50K,0,0
72,,4,Previously-Married,,Other,White,Female,6,US,<=50K,0,0
25,Private,13,Single,Professional,Other,White,Male,43,Non-US,<=50K,0,0
25,Private,13,Married,Professional,Spouse,White,Male,40,US,<=50K,0,0
45,Self-employed,9,Married,Skilled-Manual,Spouse,White,Male,90,US,>50K,7298,1
22,Private,9,Single,Office-Service,Child,White,Male,20,US,<=50K,0,0
23,Private,9,Previously-Married,Skilled-Manual,Other,Black,Male,54,US,<=50K,0,0
54,Private,9,Married,Skilled-Manual,Spouse,White,Male,35,US,<=50K,0,0
32,Self-employed,10,Single,Professional,Other,White,Male,60,US,<=50K,0,0
46,Government,10,Married,Professional,Spouse,Black,Male,38,US,>50K,7688,1
56,Self-employed,7,Previously-Married,Office-Service,Other,White,Female,50,US,<=50K,0,0
24,Self-employed,13,Single,Office-Service,Other,White,Male,50,US,<=50K,0,0
23,Government,10,Married,Specialized,Spouse,White,Male,40,US,<=50K,0,0
26,Private,9,Previously-Married,Professional,Other,White,Female,40,US,<=50K,0,0
65,,9,Married,,Spouse,White,Male,40,US,<=50K,0,0
36,Government,13,Married,Professional,Spouse,White,Male,40,US,>50K,0,0
22,Private,3,Single,Office-Service,Other,White,Male,50,Non-US,<=50K,0,0
17,Private,6,Single,Skilled-Manual,Other,White,Male,40,US,<=50K,0,0
20,Private,9,Single,Skilled-Manual,Child,White,Male,40,US,<=50K,0,0
65,Private,14,Married,Professional,Spouse,White,Male,50,US,>50K,0,0
44,Self-employed,11,Married,Office-Service,Spouse,White,Male,45,US,>50K,0,0
36,Private,9,Married,Skilled-Manual,Spouse,White,Male,40,US,<=50K,0,0
29,Private,7,Married,Office-Service,Spouse,White,Male,40,US,<=50K,0,0
20,Government,10,Single,Skilled-Manual,Child,White,Male,32,US,<=50K,0,0
28,Private,11,Married,Professional,Spouse,White,Female,36,US,>50K,0,0
39,Private,4,Married,Skilled-Manual,Spouse,White,Male,40,Non-US,<=50K,0,0
54,Private,10,Married,Skilled-Manual,Spouse,White,Male,50,US,<=50K,3908,1
52,Private,7,Previously-Married,Office-Service,Other,Black,Female,18,US,<=50K,0,0
56,Self-employed,9,Previously-Married,Professional,Other,White,Female,50,US,<=50K,0,0
18,Private,10,Single,Office-Service,Child,White,Male,20,US,<=50K,0,0
39,Private,9,Previously-Married,Skilled-Manual,Child,Black,Male,40,US,<=50K,0,0
21,Private,10,Single,Office-Service,Child,White,Female,24,US,<=50K,-1721,1
22,Private,9,Single,Office-Service,Other,White,Male,60,US,>50K,14084,1
38,Private,5,Married,Professional,Other,White,Male,54,Non-US,<=50K,0,0
21,Private,10,Single,Office-Service,Child,White,Female,40,US,<=50K,0,0
63,Private,9,Married,Skilled-Manual,Spouse,White,Male,40,US,<=50K,0,0
34,Government,13,Married,Professional,Spouse,White,Male,50,US,>50K,3103,1
42,Self-employed,9,Married,Professional,Spouse,White,Male,50,US,>50K,5178,1
33,Private,9,Married,Skilled-Manual,Spouse,White,Male,40,US,<=50K,0,0
30,Private,13,Single,Professional,Other,White,Female,50,US,<=50K,0,0
39,Private,10,Previously-Married,Office-Service,Other,White,Male,40,US,<=50K,0,0
26,Private,14,Single,Professional,Other,White,Female,40,US,<=50K,0,0
33,Private,9,Single,Skilled-Manual,Child,White,Female,40,US,<=50K,0,0
47,Government,9,Previously-Married,Office-Service,Other,White,Female,40,US,<=50K,0,0
41,Private,13,Single,Office-Service,Other,White,Female,40,Non-US,<=50K,0,0
41,Self-employed,12,Married,Skilled-Manual,Spouse,White,Male,60,US,>50K,15024,1
19,Private,10,Single,Office-Service,Child,White,Male,20,US,<=50K,0,0
46,Private,9,Previously-Married,Skilled-Manual,Other,White,Male,40,US,<=50K,0,0
43,Private,9,Married,Office-Service,Spouse,White,Male,48,US,<=50K,0,0
55,Private,10,Married,Professional,Spouse,White,Male,45,US,>50K,15024,1
46,Private,11,Married,Professional,Spouse,White,Male,40,US,<=50K,0,0
30,Private,9,Married,Skilled-Manual,Spouse,White,Male,40,Non-US,<=50K,0,0
21,Private,10,Previously-Married,Skilled-Manual,Other,White,Female,40,US,<=50K,0,0
46,Private,10,Married,Skilled-Manual,Spouse,Other,Male,40,Non-US,<=50K,0,0
17,,6,Single,,Child,White,Male,40,US,<=50K,0,0
41,Private,9,Married,Skilled-Manual,Spouse,White,Male,50,US,<=50K,0,0
69,Self-employed,9,Married,Office-Service,Spouse,White,Male,30,US,<=50K,0,0
50,Private,9,Married,Skilled-Manual,Spouse,White,Male,40,US,<=50K,0,0
20,Private,10,Single,Office-Service,Other,White,Female,40,US,<=50K,0,0
45,Self-employed,10,Married,Skilled-Manual,Spouse,White,Male,50,US,<=50K,0,0
23,Private,13,Single,Professional,Other,White,Male,40,US,<=50K,0,0
24,Private,10,Previously-Married,Office-Service,Other,White,Male,40,US,<=50K,-1876,1
44,Self-employed,9,Married,Skilled-Manual,Spouse,White,Male,50,Non-US,>50K,99999,1
31,Self-employed,10,Married,Skilled-Manual,Spouse,White,Male,50,US,<=50K,0,0
43,Private,9,Previously-Married,Skilled-Manual,Other,White,Female,44,US,<=50K,0,0
20,Government,7,Single,Office-Service,Child,White,Female,10,US,<=50K,0,0
55,Private,9,Married,Office-Service,Spouse,White,Male,56,US,>50K,0,0
24,Government,10,Single,Specialized,Other,White,Male,40,US,<=50K,0,0
41,,14,Married,,Spouse,White,Female,10,US,>50K,7688,1
59,Private,13,Single,Professional,Other,White,Female,25,US,<=50K,0,0
49,Government,4,Single,Office-Service,Other,Black,Male,20,US,<=50K,0,0
33,Private,14,Married,Professional,Spouse,White,Female,10,US,>50K,5178,1
59,Government,13,Previously-Married,Office-Service,Other,White,Male,40,US,<=50K,0,0
34,Private,14,Single,Office-Service,Other,Amer-Indian-Eskimo,Male,40,US,<=50K,0,0
20,Private,9,Single,Skilled-Manual,Child,White,Male,40,US,<=50K,0,0
25,Private,13,Single,Professional,Child,White,Female,40,US,<=50K,0,0
49,Private,6,Married,Skilled-Manual,Spouse,White,Male,40,US,<=50K,0,0
59,Private,9,Married,Skilled-Manual,Spouse,White,Male,40,US,>50K,0,0
20,Private,9,Single,Office-Service,Other,White,Female,40,US,<=50K,0,0
51,,10,Married,,Spouse,White,Female,18,US,<=50K,0,0
33,Private,10,Single,Office-Service,Other,Black,Female,35,US,<=50K,0,0
22,Private,10,Single,Skilled-Manual,Child,Black,Male,39,US,<=50K,0,0
58,Self-employed,5,Previously-Married,Office-Service,Other,White,Female,40,US,<=50K,0,0
52,Government,9,Previously-Married,Office-Service,Other,White,Female,28,US,<=50K,0,0
36,Private,6,Previously-Married,Skilled-Manual,Other,White,Female,40,US,<=50K,0,0
41,Government,9,Married,Specialized,Spouse,White,Male,40,US,<=50K,0,0
28,Private,9,Single,Skilled-Manual,Child,White,Male,40,US,<=50K,2597,1
19,Private,10,Single,Skilled-Manual,Child,Black,Male,16,US,<=50K,0,0
18,Private,9,Single,Office-Service,Other,White,Female,28,US,<=50K,0,0
18,Private,9,Single,Skilled-Manual,Child,White,Female,48,US,<=50K,0,0
28,Private,10,Married,Skilled-Manual,Spouse,White,Male,40,US,<=50K,0,0
29,Private,11,Married,Professional,Spouse,White,Male,40,US,>50K,0,0
20,,9,Single,,Child,White,Female,20,US,<=50K,0,0
40,Private,10,Married,Skilled-Manual,Spouse,White,Male,40,US,<=50K,0,0
26,Private,9,Single,Skilled-Manual,Other,White,Male,40,US,<=50K,0,0
46,Private,9,Married,Skilled-Manual,Spouse,White,Male,40,US,<=50K,0,0
23,Private,7,Single,Office-Service,Other,White,Female,24,US,<=50K,0,0
44,Private,9,Married,Office-Service,Other,White,Female,40,US,<=50K,0,0
43,Private,13,Previously-Married,Office-Service,Other,White,Female,40,US,>50K,0,0
31,Government,13,Previously-Married,Professional,Other,White,Female,60,US,<=50K,0,0
18,Private,10,Single,Office-Service,Child,White,Female,25,US,<=50K,0,0
19,Private,10,Single,Specialized,Child,White,Male,30,US,<=50K,0,0
41,Private,10,Previously-Married,Professional,Other,White,Female,40,US,<=50K,0,0
41,Private,9,Previously-Married,Skilled-Manual,Other,White,Female,40,US,<=50K,0,0
69,Private,9,Previously-Married,Office-Service,Other,White,Female,25,US,<=50K,0,0
48,Government,16,Married,Professional,Spouse,White,Female,40,US,>50K,0,0
28,Private,9,Single,Professional,Child,White,Male,40,US,<=50K,0,0
27,Self-employed,9,Married,Skilled-Manual,Spouse,White,Male,60,Non-US,>50K,0,0
41,Private,14,Married,Professional,Spouse,White,Male,50,US,>50K,-2415,1
41,Private,10,Married,Office-Service,Spouse,White,Male,40,US,<=50K,0,0
24,Private,9,Single,Skilled-Manual,Other,Black,Female,40,US,<=50K,0,0
20,,9,Single,,Other,White,Female,40,US,<=50K,0,0
42,Self-employed,16,Married,Professional,Spouse,White,Male,41,US,>50K,0,0
57,Private,9,Married,Skilled-Manual,Spouse,Black,Male,48,US,<=50K,0,0
30,Private,12,Single,Professional,Other,White,Female,40,US,<=50K,0,0
36,Private,9,Married,Office-Service,Spouse,White,Male,60,US,>50K,0,0
49,Private,4,Married,Skilled-Manual,Spouse,Black,Male,40,US,<=50K,0,0
33,Private,9,Married,Skilled-Manual,Spouse,White,Female,35,US,<=50K,0,0
23,Private,6,Married,Skilled-Manual,Spouse,White,Male,40,US,<=50K,0,0
46,Private,14,Married,Professional,Spouse,White,Male,40,US,<=50K,0,0
18,Private,10,Single,Office-Service,Child,Asian-Pac-Islander,Female,22,Non-US,<=50K,0,0
40,Private,9,Married,Professional,Spouse,White,Male,55,US,>50K,7688,1
43,Self-employed,9,Married,Professional,Spouse,White,Male,45,US,>50K,-1887,1
34,Private,14,Single,Professional,Child,White,Female,30,US,<=50K,0,0
47,Self-employed,9,Previously-Married,Professional,Other,White,Female,30,US,<=50K,0,0
44,Private,11,Previously-Married,Professional,Other,White,Female,30,US,<=50K,0,0
33,Private,9,Married,Office-Service,Spouse,White,Male,40,US,>50K,0,0
55,Private,13,Married,Professional,Spouse,White,Male,50,US,>50K,15024,1
19,Private,9,Single,Office-Service,Other,White,Male,30,US,<=50K,2907,1
28,Private,10,Single,Office-Service,Other,Black,Male,14,US,<=50K,0,0
27,Private,7,Married,Office-Service,Spouse,Black,Female,32,US,<=50K,0,0
50,Private,4,Married,Skilled-Manual,Spouse,White,Male,20,US,<=50K,0,0
22,Private,7,Single,Skilled-Manual,Other,White,Male,40,US,<=50K,0,0
40,Government,13,Married,Office-Service,Spouse,White,Male,45,US,>50K,-1887,1
25,Private,10,Single,Office-Service,Child,White,Female,40,US,<=50K,0,0
26,Government,9,Single,Skilled-Manual,Other,White,Male,40,US,<=50K,0,0
22,Private,13,Single,Office-Service,Other,White,Male,25,US,<=50K,0,0
42,Private,10,Single,Skilled-Manual,Other,Black,Female,40,US,<=50K,-625,1
38,Self-employed,13,Previously-Married,Professional,Other,White,Male,40,US,<=50K,0,0
55,Private,7,Married,Office-Service,Spouse,White,Male,30,US,<=50K,0,0
32,Private,9,Married,Office-Service,Spouse,White,Male,40,US,<=50K,0,0
22,Private,9,Married,Skilled-Manual,Spouse,White,Male,45,US,<=50K,0,0
29,Private,13,Single,Office-Service,Child,White,Male,40,US,<=50K,0,0
46,Government,14,Married,Professional,Spouse,White,Male,45,US,>50K,0,0
31,Private,10,Married,Professional,Spouse,White,Male,40,US,>50K,0,0
58,Self-employed,16,Married,Professional,Spouse,White,Male,16,US,>50K,0,0
42,Private,9,Married,Skilled-Manual,Spouse,White,Male,45,US,<=50K,0,0
18,Private,9,Single,Skilled-Manual,Other,White,Male,25,US,<=50K,0,0
58,Government,9,Previously-Married,Professional,Other,White,Male,33,US,<=50K,0,0
54,Private,9,Married,Professional,Spouse,White,Male,40,US,>50K,-1887,1
34,Private,14,Single,Professional,Other,White,Male,40,US,<=50K,0,0
26,Private,13,Single,Office-Service,Other,White,Female,40,US,<=50K,0,0
61,Private,8,Married,Professional,Spouse,White,Male,60,US,<=50K,0,0
48,Government,14,Previously-Married,Office-Service,Other,Black,Female,40,US,<=50K,0,0
36,Private,10,Married,Professional,Spouse,White,Male,45,US,>50K,0,0
24,Private,11,Married,Skilled-Manual,Spouse,White,Male,45,US,<=50K,0,0
40,Private,10,Married,Skilled-Manual,Spouse,White,Male,37,US,<=50K,0,0
33,Self-employed,9,Married,Office-Service,Spouse,White,Male,50,US,>50K,0,0
37,Private,10,Married,Skilled-Manual,Spouse,White,Male,40,US,>50K,-1887,1
34,Private,14,Single,Professional,Child,White,Male,40,US,<=50K,4650,1
56,Self-employed,10,Married,Professional,Spouse,White,Male,40,US,>50K,15024,1
28,,9,Married,,Child,White,Female,38,US,>50K,0,0
37,Private,13,Previously-Married,Professional,Other,White,Female,55,US,<=50K,0,0
44,Private,9,Previously-Married,Office-Service,Other,Black,Female,40,US,<=50K,0,0
64,,10,Married,,Spouse,White,Male,8,US,<=50K,0,0
54,Private,9,Previously-Married,Skilled-Manual,Other,White,Male,45,US,<=50K,0,0
23,Private,9,Single,Skilled-Manual,Other,White,Male,50,US,<=50K,0,0
34,Government,13,Married,Skilled-Manual,Other,Black,Male,40,Non-US,<=50K,0,0
22,Private,9,Single,Office-Service,Other,White,Female,45,US,<=50K,0,0
33,Private,13,Married,Professional,Spouse,White,Male,40,US,>50K,-1977,1
39,Private,13,Previously-Married,Professional,Other,White,Male,50,US,>50K,0,0
47,Private,10,Previously-Married,Office-Service,Other,Black,Female,37,US,<=50K,0,0
79,,4,Previously-Married,,Other,White,Male,40,US,<=50K,0,0
26,Private,9,Single,Professional,Other,Black,Female,55,US,<=50K,0,0
31,Private,10,Previously-Married,Professional,Other,White,Female,40,US,<=50K,0,0
44,Private,10,Single,Skilled-Manual,Other,White,Male,45,US,<=50K,0,0
42,Self-employed,15,Married,Professional,Spouse,White,Female,50,US,>50K,0,0
19,Private,9,Single,Skilled-Manual,Other,White,Female,40,US,<=50K,0,0
27,Private,9,Married,Skilled-Manual,Spouse,White,Male,40,US,>50K,0,0
51,Government,10,Married,Specialized,Spouse,White,Male,40,US,>50K,0,0
28,Self-employed,13,Married,Professional,Spouse,White,Male,50,US,<=50K,0,0
57,Private,13,Previously-Married,Skilled-Manual,Other,White,Male,45,US,<=50K,0,0
45,Government,13,Previously-Married,Professional,Other,White,Female,40,US,<=50K,0,0
50,Private,11,Married,Professional,Spouse,White,Male,40,US,>50K,0,0
34,Self-employed,13,Married,Office-Service,Spouse,White,Male,54,US,<=50K,0,0
45,Private,4,Married,Skilled-Manual,Spouse,Black,Male,40,US,<=50K,0,0
73,Government,9,Married,Professional,Spouse,White,Male,20,US,<=50K,0,0
34,Private,13,Married,Professional,Spouse,White,Female,50,US,>50K,0,0
31,Private,10,Married,Office-Service,Spouse,White,Male,55,US,>50K,0,0
19,Private,7,Single,Office-Service,Other,White,Male,12,US,<=50K,0,0
25,Private,10,Single,Office-Service,Child,White,Female,50,US,<=50K,0,0
38,Government,11,Previously-Married,Skilled-Manual,Other,White,Female,40,US,<=50K,6497,1
39,Private,13,Married,Skilled-Manual,Spouse,White,Male,40,US,<=50K,0,0
23,Private,13,Single,Professional,Child,Black,Female,32,US,<=50K,0,0
49,Private,9,Married,Skilled-Manual,Spouse,White,Male,40,US,<=50K,0,0
33,Government,9,Single,Office-Service,Other,White,Male,32,US,<=50K,0,0
21,Private,3,Single,Skilled-Manual,Other,White,Male,38,Non-US,<=50K,0,0
31,Private,11,Previously-Married,Skilled-Manual,Other,White,Male,40,US,<=50K,0,0
23,Private,13,Single,Professional,Other,White,Female,45,US,<=50K,0,0
34,Private,13,Married,Office-Service,Spouse,Asian-Pac-Islander,Male,40,Non-US,<=50K,0,0
25,Private,9,Single,Skilled-Manual,Other,Asian-Pac-Islander,Female,40,Non-US,<=50K,0,0
39,Private,9,Single,Skilled-Manual,Other,White,Male,40,US,<=50K,0,0
52,Self-employed,9,Married,Office-Service,Spouse,White,Male,40,US,>50K,0,0
63,Government,5,Married,Skilled-Manual,Spouse,White,Male,40,US,>50K,7688,1
41,Private,10,Married,Skilled-Manual,Spouse,White,Male,40,US,<=50K,0,0
46,Private,13,Married,Professional,Spouse,White,Male,38,US,>50K,15024,1
53,Government,9,Married,Professional,Spouse,White,Male,40,US,<=50K,0,0
25,,5,Previously-Married,,Other,White,Female,40,US,<=50K,1055,1
77,,10,Married,,Spouse,White,Male,35,US,<=50K,0,0
18,Private,8,Single,Office-Service,Child,White,Male,40,US,<=50K,0,0
38,Private,15,Married,Professional,Spouse,White,Male,50,US,<=50K,0,0
55,Private,14,Single,Professional,Other,Asian-Pac-Islander,Female,50,Non-US,<=50K,0,0
34,Private,9,Married,Professional,Spouse,White,Male,40,US,>50K,0,0
80,Self-employed,9,Married,Office-Service,Spouse,White,Male,30,US,<=50K,0,0
34,Private,11,Previously-Married,Professional,Other,White,Female,60,US,<=50K,0,0
52,Private,10,Married,Professional,Spouse,White,Male,40,US,<=50K,5013,1
42,Private,9,Single,Office-Service,Other,Black,Female,28,Non-US,<=50K,0,0
26,Private,10,Single,Office-Service,Other,White,Female,40,US,<=50K,0,0
31,Private,9,Married,Skilled-Manual,Spouse,White,Male,40,US,<=50K,0,0
25,Government,9,Single,Office-Service,Child,White,Female,35,US,<=50K,0,0
55,Self-employed,9,Married,Skilled-Manual,Spouse,White,Male,60,US,<=50K,-2057,1
19,Private,10,Single,Office-Service,Child,White,Female,12,US,<=50K,0,0
62,Self-employed,10,Married,Skilled-Manual,Spouse,White,Male,32,US,<=50K,0,0
22,Government,10,Single,Office-Service,Child,White,Female,20,US,<=50K,0,0
39,,9,Married,,Spouse,White,Female,50,US,<=50K,0,0
35,Private,9,Married,Skilled-Manual,Spouse,White,Male,40,US,<=50K,0,0
28,Private,9,Married,Office-Service,Child,White,Female,40,US,<=50K,0,0
47,Private,9,Married,Skilled-Manual,Spouse,White,Male,70,US,>50K,0,0
44,Government,9,Married,Skilled-Manual,Spouse,White,Male,40,US,<=50K,0,0
21,Private,10,Single,Office-Service,Child,White,Male,15,US,<=50K,0,0
35,Private,11,Single,Skilled-Manual,Other,White,Male,50,US,<=50K,0,0
24,Private,13,Married,Professional,Spouse,White,Male,40,US,>50K,0,0
42,Government,13,Single,Professional,Other,White,Male,40,Non-US,<=50K,0,0
28,Private,13,Single,Professional,Child,White,Male,50,US,<=50K,0,0
21,Private,10,Single,Skilled-Manual,Other,White,Male,35,US,<=50K,0,0
62,Government,10,Previously-Married,Professional,Other,Black,Male,40,US,<=50K,4650,1
39,Private,9,Single,Office-Service,Other,Black,Female,40,US,<=50K,0,0
30,Government,9,Single,Office-Service,Other,White,Male,40,US,<=50K,0,0
72,Self-employed,15,Single,Professional,Other,White,Male,20,US,<=50K,-1429,1
50,Private,10,Married,Professional,Spouse,White,Female,50,US,<=50K,0,0
28,Government,14,Single,Professional,Other,White,Male,40,US,<=50K,0,0
29,Private,10,Single,Professional,Other,White,Female,40,US,<=50K,0,0
26,Private,13,Single,Office-Service,Child,White,Female,40,US,<=50K,0,0
27,Private,14,Single,Professional,Other,White,Female,40,US,<=50K,0,0
29,Private,10,Married,Skilled-Manual,Spouse,White,Male,40,US,>50K,3103,1
61,,9,Married,,Spouse,White,Male,40,US,<=50K,0,0
29,Private,6,Married,Skilled-Manual,Spouse,White,Male,25,US,<=50K,0,0
21,,10,Single,,Child,White,Female,30,US,<=50K,0,0
31,Private,7,Married,Office-Service,Spouse,White,Female,20,US,<=50K,0,0
25,Private,9,Married,Professional,Spouse,White,Male,75,US,<=50K,0,0
58,Private,6,Married,Skilled-Manual,Spouse,White,Male,40,US,>50K,0,0
64,Private,10,Married,Professional,Spouse,White,Female,40,US,>50K,0,0
46,Government,14,Single,Professional,Other,White,Male,38,US,<=50K,0,0
53,,9,Married,,Spouse,White,Male,35,US,>50K,0,0
19,Private,9,Single,Office-Service,Child,Amer-Indian-Eskimo,Female,35,US,<=50K,0,0
42,Private,9,Previously-Married,Office-Service,Other,Black,Male,52,US,<=50K,0,0
18,Private,7,Single,Skilled-Manual,Child,White,Male,24,US,<=50K,0,0
58,Self-employed,13,Married,Skilled-Manual,Spouse,White,Male,50,US,>50K,15024,1
20,Private,10,Single,Specialized,Other,Black,Male,60,US,<=50K,0,0
35,Government,9,Married,Skilled-Manual,Spouse,White,Male,40,US,>50K,0,0
32,Private,9,Married,Skilled-Manual,Spouse,White,Male,38,US,>50K,0,0
23,Private,9,Single,Skilled-Manual,Other,White,Female,25,US,<=50K,0,0
31,Private,10,Previously-Married,Professional,Other,White,Female,40,US,<=50K,0,0
33,Private,13,Married,Office-Service,Spouse,Black,Male,55,US,<=50K,0,0
41,Private,10,Single,Skilled-Manual,Other,White,Female,48,US,<=50K,0,0
22,Private,9,Single,Skilled-Manual,Child,Black,Male,40,US,<=50K,0,0
46,Private,10,Married,Specialized,Spouse,White,Male,40,US,>50K,0,0
61,Government,10,Married,Skilled-Manual,Spouse,Black,Male,40,US,<=50K,0,0
30,Private,9,Single,Professional,Other,Black,Male,40,US,<=50K,0,0
42,Private,9,Married,Professional,Spouse,White,Male,55,US,>50K,0,0
63,Private,6,Married,Skilled-Manual,Spouse,White,Male,40,US,<=50K,0,0
26,Private,10,Married,Office-Service,Spouse,White,Male,40,US,<=50K,0,0
42,Private,6,Previously-Married,Office-Service,Other,White,Female,40,US,<=50K,0,0
23,Private,10,Married,Office-Service,Spouse,White,Male,40,US,<=50K,0,0
25,Private,9,Single,Skilled-Manual,Other,White,Male,40,US,<=50K,-1590,1
30,Private,5,Married,Office-Service,Spouse,White,Male,32,Non-US,>50K,0,0
23,Private,9,Single,Office-Service,Child,White,Male,40,US,<=50K,0,0
34,Self-employed,11,Single,Skilled-Manual,Other,White,Male,60,US,>50K,27828,1
30,Private,9,Married,Skilled-Manual,Other,White,Male,48,US,<=50K,-2057,1
39,Private,10,Married,Skilled-Manual,Spouse,White,Male,40,US,>50K,0,0
30,Private,7,Single,Skilled-Manual,Other,White,Male,38,Non-US,<=50K,-1721,1
38,Government,10,Previously-Married,Office-Service,Other,White,Female,38,US,<=50K,0,0
26,Private,9,Previously-Married,Professional,Child,White,Female,40,US,<=50K,0,0
20,Private,10,Single,Skilled-Manual,Child,White,Male,16,US,<=50K,0,0
37,Government,13,Single,Professional,Other,Black,Male,40,Non-US,<=50K,0,0
33,Private,9,Married,Office-Service,Child,White,Female,40,US,<=50K,0,0
24,Private,13,Single,Office-Service,Child,White,Male,40,US,<=50K,0,0
42,Self-employed,13,Married,Professional,Spouse,White,Male,60,US,>50K,0,0
51,Self-employed,9,Married,Office-Service,Spouse,Asian-Pac-Islander,Male,84,Non-US,<=50K,3103,1
56,Government,12,Married,Professional,Spouse,White,Male,45,US,>50K,0,0
22,Private,10,Single,Skilled-Manual,Child,White,Male,40,US,<=50K,0,0
52,Self-employed,10,Married,Skilled-Manual,Spouse,White,Male,60,US,<=50K,0,0
44,Private,13,Previously-Married,Professional,Other,White,Female,45,US,>50K,4934,1
34,Private,9,Married,Office-Service,Spouse,White,Female,35,US,<=50K,4064,1
51,Private,10,Previously-Married,Skilled-Manual,Other,White,Male,42,US,>50K,0,0
20,,10,Single,,Other,White,Male,40,US,<=50K,0,0
19,Private,10,Single,Office-Service,Other,White,Female,25,US,<=50K,0,0
37,Private,13,Married,Professional,Spouse,White,Male,40,US,>50K,0,0
68,Private,9,Married,Skilled-Manual,Spouse,Black,Male,40,US,>50K,0,0
22,Private,10,Previously-Married,Specialized,Other,White,Male,40,US,<=50K,0,0
56,Self-employed,13,Married,Professional,Spouse,White,Male,40,US,<=50K,0,0
37,Private,9,Married,Skilled-Manual,Spouse,White,Male,40,US,<=50K,0,0
